title,organizer_1,organizer_2,organizer_3,organizer_4,organizer_5,organizer_6,organizer_7,posted,desc,id,keyword_1,keyword_2,keyword_3,keyword_4,keyword_5,keyword_6,keyword_7,keyword_8,theme_1,theme_2,theme_3
STS from the Wounds,Mara Dicenta,"Julia Morales Fontanilla, Rutgers University - New Jersey, USA","Aadita Chaudhury, York University",NA,NA,NA,NA,"Posted: January 27, 2021
","
				
				
				What does it mean to engage in “good relations” in worlds that unfold after violence and destruction? How does STS respond to wounded worlds? This panel interrogates the vitalities of destruction not from universalist standpoints but from the politics wounded knowledges, ecologies of practice, and geographies demand. We think with those Argentinian Mothers of Plaza de Mayo who reject economic reparations as a way to keep the wounds of state terror open; the expansion of extractivist practices in a “post-conflict” Colombia —which also organizes the assassination of those who seek alternative worldings; and the Original Peoples in Tierra del Fuego who, after being objectivized as extinct, are re-emerging as wounded collectives. We want to think how to politicize the marks that borders and divides make upon subjects, natures, and knowledges. How does one re-politize their excesses? the failed separations (Segato, 2018), the “interstitial tissue of the social” that connects/separates worlds after violence (Dewachi 2015), or the “not-seen” of destructing worlds that are also exceeded by the impossibility of such destruction and separation (de la Cadena, 2017). We seek a feminist contribution that acknowledges how technoscience is not only situated but also traced, marked, and haunted by histories and stories of violence and displacement. How can feminist STS doings avow these histories and stories? Contributions might focus on wounded knowledges, subjects, histories, and narratives, on the worlding of ending worlds, post-conflict scenarios, postcolonial politics, postnatural effects, ecologies of late capitalism, extinction, disappearance, after life, after atrocity, and after destruction. ",172,Wounds, Worlding, Destruction, After Nature, Post-Conflict,NA,NA,NA,Environmental/Multispecies Studies,Feminist STS / Queer STS,Postcolonial STS
STS in/from/and Asia,"Emma Kowal, Deakin University","Aalok Khandekar, Indian Institute of Technology Hyderabad","Hsin-Hsing Chen, Shih-Hsin University Graduate Institute for Social Transformation Studies","Lyle Fearnley, Singapore University of Technology and Design","Usha Raman, University of Hyderabad",NA,NA,"Posted: January 27, 2021
","
				
				
				Since Daiwie Fu first asked ‘how far can East Asian STS go?’ in the inaugural issue of East Asian Science, Technology and Society in 2007, many scholars have considered the limits and possibilities of STS in the Asian region. This open panel seeks to build on these conversations, drawing on empirical studies of technoscience within, across and beyond Asia.
A persistent theme in explorations of STS and Asia has been the troubling of critiques based on west/non-west binaries, recognizing instead processes of creolization, hybridity and syncretism in both technoscience and in STS scholarship. As the centre of geopolitical gravity shifts to what is increasingly called the Indo-Asia-Pacific, Asia is the site of novel imaginaries and bold experimentation in every aspect of 21st century life – from energy transition to biosecurity to gene editing to surveillance capitalism – that are shaped by intersecting legacies of European and Asian colonialisms, ongoing Indigenous dispossession and persecution of minority groups, ecological collapse and acute vulnerability to climate change.
Contributing to discussions that have begun through the new TransAsiaSTS Network, we seek papers on all aspects of technoscience that contribute to answering questions such as: What can STS offer the study of technoscience in Asia and what does Asia offer STS? What kind of categories are ‘STS in Asia’ or ‘Asian STS’? How do they relate to Indigenous, queer, feminist, postcolonial, decolonial, and posthuman inflections of STS scholarship? How can scholarly infrastructures better support STS research and research training in the region? How can collaborations in the region contribute to building solidarities and strengthening civil societies? How might these in turn inform practical efforts on the ground? What possibilities can emerge from comparisons of STS in/from/and Asia and other regional formations, located in Northern as well as Southern contexts? ",173,Asia, Transnational STS, Feminist and Postcolonial STS, Regional Collaborations, Research Infrastructures,NA,NA,NA,Method and Practice,Postcolonial STS,Transnational STS
Teaching Science and Engineering for Social Justice,"Aditya Anupam, Georgia Institute Of Technology",NA,NA,NA,NA,NA,NA,"Posted: January 27, 2021
","
				
				
				Science and engineering education bear significant responsibility in fostering democratic and just technoscientific practice, especially given the complicity of technoscience in several social injustices. For example, AI-based surveillance has reinforced the marginalization of minorities, while the use of toxic chemicals in the electronics industry has caused several worker miscarriages. However, pressured by a market-driven system that prioritizes technical skills, this responsibility is often relegated to ethics or STS courses that are separated from the core science/engineering curriculum. Further, as Dr. Timnit Gebru’s recent exit from Google illustrates, the environments of professional technoscience are often themselves averse to critically analyzing issues of social justice and ethics in their practice. Consequently, science and engineering students seldom learn how to engage with social justice as it relates to the subject-matter and methods of technoscience. This is problematic as it can promote agnosticism or even antagonism towards considering the role of technoscience in perpetuating social injustices and inequity. 
How can we teach science/engineering for social justice in a system that often devalues social justice? In this panel, we invite submissions that critically engage with this question through theoretical and/or practical work. Examples include but are not limited to (re)designing and discussing:
	•	Classroom strategies, courses, or curricula
	•	Digital educational media such as games, simulations, and information visualizations
	•	Policies and power dynamics of the educational system
	•	Personal narratives as educators, administrators, or students
as they relate to the challenges of teaching science/engineering for social justice. ",174,education, social justice, science, engineering, STS,NA,NA,NA,Method and Practice,Science Communication/Public Engagement,Social Justice/Social Movement
Technologies for claiming our kin,"Alexis Shotwell, Carleton University",Scout Calvert,NA,NA,NA,NA,NA,"Posted: January 27, 2021
","
				
				
				The infrastructure and practices for administering colonization, slavery, and capitalist heritable property relations are the basis for proliferating genealogical technologies, from DNA databases to family tree websites. These technologies materially and socially support white settler genealogical practices that identify away from responsibilities for the material conditions and effects of whiteness, and towards race shifting and the appropriation of racialized identities. 
However, increasingly people are also developing projects for claiming kin that do not erase the histories and ongoing practices of land theft, genocide, enslavement, and border militarism. Examples include projects such as Enslaved: Peoples of the Historic Slave Trade, and work by scholars like Darryl Laroux, who traces genealogical claims to Metis identity made by white settlers in the Canadian context. Such projects situate people in their family and social milieus, including as captives and captors, on lands that have histories, enabling forms of reckoning and a reconsideration of “good relations.”
For this open panel, we invite papers that investigate data, stories, material practices, and dreaming that allow people to claim kin other than the typical history of genealogy. What are the forms of relationality through which people might “claim bad kin,” or collect their relations when their relations are the agents of tremendous harm? What practices of claiming kin resist the social organization of forgetting of histories, familial and otherwise, that fall outside the settler state’s conception of being related? How do we build relationality in new kin formations, and what social and technical practices support such work? ",175,Kin, whiteness, colonialism, genealogy,data,NA,NA,NA,"Critical Race Studies, Black Studies, and STS",Data and quantification,Feminist STS / Queer STS
Technologies of Death and Dying at the Beginning of Life,"Stine Willum Adrian, Aalborg University","Laura Louise Heinsen, Department of Culture and Learning, Aalborg University","Anna Sofie Bach, Aalborg University Copenhagen",NA,NA,NA,NA,"Posted: January 27, 2021
","
				
				
				The advancement of reproductive technologies has not only made an impact on how life emerge; technologies also remake death and dying at the beginning of life. In fertility clinics surplus embryos raise questions regarding if, when, and how they can be discarded or used for non-reproductive means. Ultrasonography used for prenatal diagnosis situate expecting parents in situations of whether they should terminate the pregnancy when fetal malformations are detected, and infants some time die even though technologies are used to keep them alive. Moreover, new technologies are developed in regards to handling dead bodies. This includes post-mortem diagnostics or the development of cooling technologies, such as the cooling cot, a technology that may enable new bereavement practices.
  In this panel, we welcome presentations that explore in which ways technologies are part of death and dying at the beginning of life around the globe, by asking: How are technologies of death and dying regulated, practiced and lived with? How do technologies impact when a life is deemed killable and grievable? How do processes and conceptualizations of death and dying alter as technologies are increasingly involved in reproduction? How do parents or the medical staff involved, live with the deaths that emerge with technologies? And what are the theoretical implications of rethinking technologies of life to also focus on technologies of death? Finally, we welcome reflections on the politics of ontology, and conceptualizations of technologies of dying, as death at the beginning of life is explored. ",176,technologies of death and dying, grief, infant death, abortion, reproductive technologies,NA,NA,NA,"Genetics, Genomics, Biotechnology",Medicine and Healthcare,NA
Technologies of Policing; Policing as Technology,"Nick Lally, University of Kentucky","Xerxes Minocher, University of Wisconsin-Madison",NA,NA,NA,NA,NA,"Posted: January 27, 2021
","
				
				
				Policing has always relied on technologies to assist in the spatial management and social control of populations. Recently, digital technologies have become increasingly central to police operations, which parallels a shift to more proactive forms of policing. Predictive policing, online surveillance, biometrics, facial recognition, machine learning, body cameras, gunshot detection, interoperable databases, and drones connect to existing police technologies as many departments attempt to shift to ‘intelligence-led’ or ‘data-driven’ approaches. With the current public crisis facing policing, there has been a growing questioning of the effects of technologies, computation, and data on practices of policing. How can STS approaches contribute to studying policing in its situated contexts, considering the uneven and often fraught implementation of technology? Given how little we know about what technologies of policing, or even policing as a technology itself can do, we invite perspectives and approaches that study the material impacts of policing. In this panel, we seek to include a diverse set of concerns and methods in order to reveal new depths and breadth to our understanding of how technologies of policing and policing as technology function and transform each other. These might include theoretical, methodological, or empirical contributions that, for example, historicize policing technologies (Jefferson, 2020); engage ethnographically with police officers, departments, or technology developers (Brayne, 2017); experiment with policing algorithms (Lum & Isaac, 2016); and more. Further, given the disproportionate use of violence against marginalized members of our communities, we encourage approaches that consider how to center resistive and abolitionist approaches in studying policing. ",177,police, surveillance, computation, data, difference,NA,NA,NA,"Big Data, AI and Machine Learning",Method and Practice,Militarism and Security
Technology Needs of the Muslim Communities Around the World,"Firaz Peer, University Of Kentucky","Nusrat Jahan Mim, Harvard University Graduate School of Design","Syed Ishtiaque Ahmed, University of Toronto",Mohammad Rashidujjaman Rifat,Maryam Mustafa,"Hawra Rabaan, Indiana University",NA,"Posted: January 27, 2021
","
				
				
				This panel will seek to understand what it means to practice good relations between technologies and humans who adhere to the Islamic way of life. Islam is one of the world’s dominant (23% of the world identify as Muslim) and fastest-growing major religion. While there is much scholarship that focuses on Islam’s spiritual and cultural aspects, there is a paucity of research that considers the relationship between Islam and modern computing technologies. We call for research that focuses on understanding the designs, (non)uses, improvisations, and regulations around the “techno-spiritual” practices of Muslim populations globally. 
We construe technology broadly and welcome scholarship that offers a more nuanced understanding of Islam and technology design from various scholarly traditions, including sociology, law, anthropology, communication, STS, environmental science, political science, social work, gender studies, health and philosophy. We define “Islam” as an umbrella term for representing different practices of Islam around the world. We hope to contribute to discussions of how technologies shape and are, in turn, shaped by the religious practices within Muslim communities. These practices have implications for development, privacy, security, human rights, social justice, health, substance abuse rehabilitation, sustainability, and islamophobia, while also addressing the broader question around the othering of the Islamic faith from modern Science and Technology practices.
In bringing this panel together, we hope to draw attention to Muslim communities’ values and needs, in order to initiate a larger conversation about the technology needs of faith-based communities, which have been largely overlooked by the research community. ",178,Islam, computing, communities,,NA,NA,NA,NA,"Information, Computing and Media Technology",Transnational STS,NA
"Technology, Aesthetics, and the Body","Alka Menon, Yale University","Alok Vaid-Menon, Rutgers University",NA,NA,NA,NA,NA,"Posted: January 27, 2021
","
				
				
				People are increasingly tasked with both the aesthetic and scientific management and optimization of their bodies. For women and non-binary people, in particular, “health” and “beauty” are not simply individual achievements, but comprise the terrain in which battles over the “fitness of the race and the nation” have been played out (Strings 2019:194). Technologies from X-ray machines to Fitbits are mobilized in these fights. STS has analyzed how gender and racial ideologies are embedded within such technologies. This panel draws attention to technologies of the body with a particular eye toward aesthetics. How does the body become articulated, legible, and fortified through the use of technology? We are especially interested in everyday, mundane objects that have often not been analyzed as technologies, such as cosmetics, clothing, and accessories. Technologies of embodiment like cosmetics have been dismissed as commodities or frivolities. But subjects use them to resist subordination and to express themselves in ways that can subvert oppression at personal and structural scales.
We invite submissions of papers about technologies of embodiment, enhancement and adornment, especially on the following subjects: 
-The disruption of the binary between natural and artificial
-The enforcement of the gender binary, heteronormativity, and transmisogyny
-The construction or disruption of racial and colonial formations
-The political economy of makeup
-Fashion
-Beauty gurus and social media influencers
-Cosmetic surgery
-DIY body and “bio” hacking ",179,Body, race, gender, aesthetics, enhancement,NA,NA,NA,"Critical Race Studies, Black Studies, and STS",Feminist STS / Queer STS,NA
The algorithmic turn of prediction,"Simon Egbert, Technische Universität Berlin","Elena Esposito, Bielefeld University","Maximilian Heimstädt, Weizenbaum Institute for the Networked Society",NA,NA,NA,NA,"Posted: January 27, 2021
","
				
				
				Throughout history, the future has been an important reference for mankind. Its role for life in the present, however, has changed significantly in the course of time. While the future was initially found to be unalterable, with the development of modern societies it became to be understood as an open horizon that stands in a causal relationship to the present – the future got shapable according to actions and decisions in the present.
This shift in terms of interpreting the future made it even more attractive than before to produce knowledge about it. Predictive strategies subsequently flourished and technologies thereby played an increasingly important role.
With the advent of modern forms of algorithmic data analysis, with machine learning and artificial intelligence gaining center stage, another shift in referring to the future is likely, presenting an exciting as well as urgent challenge for social sciences in general and STS in particular.
Before this backdrop, this panel aims to discuss the theoretical as well as empirical implications of algorithmic prediction in the datafied society. What effects does the algorithmization of prediction have on the systems, settings and situations concerned? How do algorithmic predictive technologies differ from their – allegedly less sophisticated – technological predecessors? And, last but not least, where are the analytical possibilities and limits of STS approaches regarding the algorithmic turn of prediction? ",180,prediction, big data, machine learning, algorithms, statistics,NA,NA,NA,"Big Data, AI and Machine Learning",Data and quantification,"Information, Computing and Media Technology"
The Biomedicalization of Social Medicine?,"Anne Lie, University of Oslo","Jeremy A Greene, Johns Hopkins University",NA,NA,NA,NA,NA,"Posted: January 27, 2021
","
				
				
				Biomedicalization scholars have argued that studies of biomedicalization need to be situated in their geopolitical context and within that context’s history of approaches to health and healing (Clarke et al 2010). Biomedicalization can be absent in some sites, or it can be contested by a diverse set of other approaches to healing (such as non-Western practices of medicine). Yet such contestations within the field of medicine itself have often been overlooked in the literature on biomedicalization. One such field is social medicine, a a field concerned with the social determinants of health and the relations of medicine and social justice. 
In this panel, we trace the blurred and contested boundaries between social medicine and biomedicine. Some practices of social medicine have included at the same time social forms of care and biomedicalized approaches. Other social medicine practices have explicitly challenged biomedicalization processes. At different times and places, proponents of social medicine have argued that it has been too much  biomedicine (at the expense of social, political and legal approaches), or that it has been too little of it (HIV treatment in low income countries, access to gender-affirming therapy). Sometimes, biomedicalization processes initially promoted by social medicine in the name of solidarity or health equity, have been transformed into more techno-science-dependent forms of practice, sometimes in stratified forms. 
In this open panel, we aim to explore diverse empirical examples of interdependencies, interconnectedness and contestations between biomedicine and social medicine in different historical and contemporary sites. ",181,Social medicine, Biomedicalization,  Clinical Encounter, Health equity,NA,NA,NA,NA,Medicine and Healthcare,Social Justice/Social Movement,Transnational STS
The Covid-19 Pandemic as a Test of STS Knowledge and Lessons,"Eve Seguin, UQAM",NA,NA,NA,NA,NA,NA,"Posted: January 27, 2021
","
				
				
				The Covid-19 pandemic is unparalleled in modern history on both the political and scientific fronts. The only comparable event, the Spanish flu, did not entail the measures of exception such as lockdowns and curfews that we have been witnessing since March 2020. Nor was it accompanied by a similar foregrounding of scientific debate and scrutiny of every scientific or medical pronouncement. The origin and characteristics of SARS-CoV-2, screening tests, medicines and treatments, fatality rates, masks, vaccines, all have turned into issues hotly debated in the public sphere, both at the national and international levels. 
On the surface the pandemic seems to conform to the controversial dynamics of knowledge production and use emphasized by STS in the last four decades or so. From this observation, the premise of the panel is that the outbreak and management of Covid-19 provides us with a unique opportunity to test our widely held conclusions on various dimensions of the science/politics interface. Given that normative and public policy concerns clearly pervade a number of STS works, one may also interrogate the extent to which various Covid actors behave according to the lessons taught by the field.
The problem of whether Covid-19 vindicates and/or challenges STS knowledge and principles can be addressed by investigating at least three thematic clusters. 1. Risk societies and scientific uncertainty. 2. Controversies and scientific consensus formation. 3. Public engagement in science and conspiracy hunting. ",182,Covid-19, Risk societies, Scientific controversies, Public engagement in science, Consensus formation,NA,NA,NA,Governance and Public Policy,Medicine and Healthcare,Science Communication/Public Engagement
The Imposter as Engine of Uncertainty,Stephen Woolgar,"Else Vogel, Department of Thematic Studies - Technology and Social Change, Linköping University","David Moats, Linköping University, Tema-T (Tema Technology and Social Change)","Claes-Fredrik Helgesson, Centre for Integrated Research on Culture and Society (CIRCUS)",NA,NA,NA,"Posted: January 27, 2021
","
				
				
				An imposter is commonly understood as a person who pretends to be someone else in order to deceive others. The imposter and practices of impostering, are perhaps as common as making and sustaining distinctions between insiders and outsiders. Despite their omnipresence, the imposter has largely been exploited analytically as a phenomenon that reveals something about an underlying order. This panel – which is a freestanding upshot of the new volume The Imposter as Social Theory edited by the panel conveners –  seeks to expand the discussion on the imposter by understanding imposters as primary engines of indeterminacy, uncertainty and disorder . Instead of exploiting the imposter as a methodological probe for the revelation of social order, this panel suggests the imposter can more fundamentally re-specify social theory and the entire project of theorising. The figure of the imposter, as well as the dramas, disruptions, reactions and questions they engender, enrich long standing STS conversations about relations between appearance and reality and between identity and social order.
The panel invites contributions that explore what the imposter does to our efforts in theorising social order; how we might attend to impostering as a performance; how imposters enact belonging; how accounts of who is and is not an imposter get settled or not; and how to detail the materialities or socio-material conditions through which imposters are brought into being, and emerge as something to be known and detected, e.g. gates, tests, scans, internet, norms and manners. ",183,Imposter, Uncertainty, Indeterminancy, Disorder, Social Theory,NA,NA,NA,Method and Practice,Other,NA
The Material-Semiotics of Global Health Infrastructures,"Cal Biruk, McMaster University","Robert Lorway, University of Manitoba",NA,NA,NA,NA,NA,"Posted: January 27, 2021
","
				
				
				What can be made of built and provisional global health infrastructures? How do we begin to depict and analyse the complex workings and material heterogeneity of sprawling networks of people, evidentiary systems, communication channels, and the mundane and seemingly ‘micro’-interacting components and artefacts that make-up, and are made up by, global health work? This panel thinks with and through the many questions raised by the persistence of global health infrastructures, bringing together case studies that centre their coexistence, adaptability, and fragility to challenge the “modern infrastructure ideal” (Furlong 2014). We suggest that the dispersed relations, affects, and transactions that characterize these sociotechnical systems enact and assign meaning to (racial, sexual, gender) differences that congeal infrastructures. In this, we move beyond viewing difference (e.g., non-heterosexuality or blackness) as merely fraught, socially constructed variable that facilitates interventions into health or behaviour. Instead, we consider how forms of difference are conjured, orchestrated, and sedimented within global health infrastructures. Questions pertinent to our discussions include:
How are colonial, racialized, gendered, and other tropes, stereotypes, and assumptions reshuffled and recycled in submerged, non-explicit ways in present-day global health worlds? 
How do global health infrastructures work—not only through multiple layerings of mutually reinforcing networks—but also, more dissonantly, through less-visible repurposings and co-optations that meet unacknowledged exigencies contradictory to the aims of their original architecture?
How do we understand and analyze productions and valuations of deprivation and difference—the vital substrates on which global health infrastructures materialize, animate, flourish, and come undone?   
References
Furlong, Kathryn. 2014. “STS beyond the ‘modern infrastructure ideal’: Extending theory by engaging with infrastructure challenges in the South.” Technology in Society 38:  139-147. ",184,global health, infrastructures, evidence, race, sexuality,NA,NA,NA,Feminist STS / Queer STS,Infrastructure,Postcolonial STS
The Post-Truth age: What is this really about?,Luis Ignacio Reyes-Galindo,"Tiago Ribeiro Duarte, University of Brasília",NA,NA,NA,NA,NA,"Posted: January 27, 2021
","
				
				
				Debates on ‘post truth’ have become a visible staple of recent STS, the word having gathered media and journalistic attraction — though mostly in the Angloshpere — to include discussions and commentaries in some of the main journals in the field such as Social Studies of Science and Engaging Science, Technology and Society. However, most papers and books published on the subject of ‘post truth’ (within and outside STS) are presented in the form of essays or reflections that are based on little or no firsthand systematic, empirical research, and with limited geographic diversity. In this panel, we propose to bring together STS scholars interested in debating what it means to live in a post-truth age — if we are indeed living in such a new age at all — based on empirical studies. Thus, while ‘post truth’ is most commonly associated with the idea that contemporary societies have entered a period in which facts matter less to public opinion than emotions and personal beliefs, there remains much to be worked out in terms of what, in this respect, distinguishes the current age from others. In this panel we seek to bring together papers based on research that seeks to either rectify or destabilize a taken for-granted, definitive and universalist definition of ‘the post-truth age’, based on evidence of changes to contemporary societies, in a wider variety of contexts, which would justify adopting such an all-embracing concept. ",185,post truth, empirical STS, politics, fake news,NA,NA,NA,NA,Governance and Public Policy,Science Communication/Public Engagement,Transnational STS
The Postcolonial Politics of Election Technologies,"Marielle Debos, University Paris Nanterre","Cecilia Passanti, Université de Paris",NA,NA,NA,NA,NA,"Posted: January 27, 2021
","
				
				
				The benefits and costs of election technologies (voting machines, biometric voter registration and authentication, electronic transmission of results) are now much debated. Despite the criticisms, high-tech voting systems are booming in many parts of the world: for example, half of the countries in Africa have adopted biometrics for voter registration procedures. This panel aims to investigate the transnational circulation of these technologies and the invention of new markets in Africa, Asia and Latin America. Particular attention should be paid to the neoliberal and postcolonial logics underlying the spread of these technologies. Who plays a major role in the roll-out of election technologies in the Global South? To what extent are countries in Africa and elsewhere used as a testing ground by the private companies providing the technologies? We aim to explore the strategies of old and new actors in this field: election commissions, ICT and biometric experts, private firms. A second key objective of this panel is to make sense of the practical effects of election technologies in the countries concerned. In many countries, the technologies have raised high expectations. How do governments, political opponents as well as activists strategically use them? How does the collection of data transform electoral politics and the architecture of the state? As lawyers and privacy advocates face major challenges, perspectives from the Global South and battles fought there are also crucial for the rest of the world. Ultimately, this panel explores how election technologies have shaped our contemporary practices and politics of democracy. ",186,Election technologies, Biometrics, Democracy, Postcolonial, Neoliberalism,NA,NA,NA,Governance and Public Policy,Postcolonial STS,Transnational STS
The Prediction Factor: Medical Decision in the Age of Big Data,"Marie Le Clainche Piel, CNRS - Centre d'Etude des Mouvements Sociaux","Adeline Perrot, Ethox Centre - University of Oxford","Margo Bernelin, CNRS - Université de Nantes",NA,NA,NA,NA,"Posted: January 27, 2021
","
				
				
				Healthcare professionals are making increasing use of decision-making support systems. Those tools thrive on the accumulation of socio-demographic and medical data. Ever more detailed databases allow the actors to refine and accelerate diagnoses. Computer-assisted analysis of a large number of clinical studies offer the possibility of optimizing the use of health resources (drugs, organs, vaccines, tests, hospitalizations) by anticipating reactions to treatments and personalizing care. The creation of large national databases dedicated to Covid-19 demonstrate that, more than ever, big data are thought to be the future of healthcare, especially when uncertainty dominates debates. 
The use of big data and predictive tools in health raises many questions at the articulation of socio-technical, legal and ethical levels. Among them: What are the impacts of predictive devices on patients’ care trajectories? What do they imply in terms of equal access to treatments, informed choice and protection of personal data? To what extent should predictive tools (using algorithms, genomic sequencing etc.) and those who design them be allowed to control/impact medical decisions?
This panel seeks to create a dialogue among researchers interested in the use of big data to manage health, in the construction of data processing tools for AI purposes, as well as in the regulation of data access. Whether the papers are based on quantitative or qualitative research, they will be invited to shed light on the impacts of big data on health practices, individual futures, especially for minority groups, and collective imaginary. ",187,Big Data, Healthcare, Prediction, Personalized medicine, Inequality,NA,NA,NA,"Big Data, AI and Machine Learning","Genetics, Genomics, Biotechnology",Medicine and Healthcare
The Race to Digitalization and its attendant consequence of inequality,"Emmanuel Ejim-Eze, Institute of Engineering, technology and innovation Management",NA,NA,NA,NA,NA,NA,"Posted: January 27, 2021
","
				
				
				The global economy is experiencing increased digital transformation with its impacts felt globally and in all economic sector. Digitalization enhances productivity with increased impacts on e-governance, telemedicine, distant learning, market access, remote-working, manufacturing et.c
 Digital technological capabilities, however, remain concentrated in technological advanced economies and the digital economy is creating emerging new forms of inequality and wider technological gaps. The rise in digitization has reshaped markets and the world of business and work raising inequalities within economies and distorting income distribution. The distribution of both capital and labor income has become more unequal with income largely shifting from labor to capital. 
Developing countries (especially those in African) will not easily finance digitalization due to the high cost of infrastructure to develop and support robots, automation and other digital technologies. Moreover, the disruptions caused by COVID-19 pandemic has increased the need for digitalization. New forms of nationalisms are growing, border closures and restrictions of movements of humans and goods are all in a bid to stop the spread of the virus. Digitalization is sure to increase if business transactions are to continue. This has made countries to develop national digital polices. However, policy failures of past industrial policies may still hunt this countries.
This panel will contribute to knowledge on how to structure digitalization that will enhance the attainment of sustainable development reducing inequality and technological divide. We are also seeking to understand the likely factors causing the digital divide and national policies to regulate the impacts digitalization in developing countries ",188,Digitalization, digital technologies, inequalities, developing countries, digital policies,NA,NA,NA,Governance and Public Policy,"Information, Computing and Media Technology",Other
"Theorizing COVID-19: STS Engagements, Asia-Pacific, and New Theoretical Moorings","Nayantara Sheoran Appleton, Victoria University of Wellington","Courtney Addison, Victoria University of Wellington",NA,NA,NA,NA,NA,"Posted: January 27, 2021
","
				
				
				There is a risk that when the story of this current pandemic is written, the images and ideas from places in Euro-America will overwhelm the archive. As the proliferation of scholarship on COVID-19 indicates, we as a discipline are in midst of canon-making. The challenge and opportunity is to ensure that this canon reflects the diversely situated voices of the STS community. 
This panel hopes to offer a precursory corrective to that potentially limited theorizing of COVID-19 through the Euro-American lens, by offering new methodological, practical, and theoretical spaces from which we can see and think about this pandemic. Kuan-Hsing Chen in Asia as Method mobilized an intellectual trajectory that encouraged theoretical moorings that were focused on the diversity of Asian histories and presents as a way to explain Asia. Thinking about Asia in comparison with other places in Asia, and moving beyond comparison with the ‘global north,’ allows for a nuanced way to think about COVID-19. 
In the spirit of this years’ 4S theme ‘Practices and Methods in Unequal and Uncertain Worlds’ this open panel invites papers and talks that encourage new and novel theoretical moorings that emerge from spaces that have known inequality and uncertainty through long histories. Papers from feminist, Indigenous, and/or post-colonial scholars, that draw on the details of how COVID-19 shaped policy, practice, and the everyday in Asia-Pacific, that push the boundaries of ‘traditional’ STS, and make space for complicated narratives that reflect the diversity of the Asian-Pacific COVID-19 experience are welcomed. ",189,COVID-19, Theorising COVID-19, Asia-Pacific, Asia as Method,NA,NA,NA,NA,Feminist STS / Queer STS,Indigenous STS,Postcolonial STS
Total Institutions: Technosciences of Care and Control,"Hannah Zeavin, UC Berkeley","Beth Semel, Massachusetts Institute of Technology (MIT)",NA,NA,NA,NA,NA,"Posted: January 27, 2021
","
				
				
				Erving Goffman (1961) called both prisons and psychiatric wards “total institutions,” gesturing to the intertwined nature of care, capture, and control in efforts to manage deviance of the soul, psyche, or self. This panel investigates institutions and techniques of mental health care in the Global North, South, and colonial contexts, grappling with the criminological, forensic, pastoral and penal impulses of the psy-disciplines. Building from the work of feminist science and technology studies, abolitionist scholarship (Wang 2018), studies of racial capitalism (Robinson 1983), and historical and sociological studies of psychiatry, social services, and the prison industrial complex (Roberts 2001, Metzl 2010, Ryan Hatch 2019, Raz 2020, Smtih 2020), panelists will explore the connective tissue between the prison and the asylum, probing the practices, histories, expertise and apparatuses within the mental health care professions and other social services (from psychiatry, psychology, psychotherapy, and beyond) that knit together the carceral with the bioemdical. 
We invite papers that approach topics such as:
The role of digital, computational, and pharmaceutical technologies (e.g. electronic monitoring, predictive AI, listening tools, psychotropic drugs) in extending, fortifying, or disrupting the carceral dimensions of the psy-disciplines, particularly as they impact racialized and marginalized communities 
The intersection of state, corporate, and colonial surveillance networks and mental health care, from institutionalization to self-help and mindfulness movements 
Anti-carceral technologies that point to abolitionist futures for psychiatry beyond bureaucratic or colonial institutions
Accounts of activist, patient rights’, or disability justice movements, subsumed histories of radical care, and initiatives to decolonize biomedical care practices ",190,incarceration, surveillance, mental health care, technology, biomedicine,NA,NA,NA,"Critical Race Studies, Black Studies, and STS",Decolonial STS,Feminist STS / Queer STS
Toward a Critical Health Informatics: Traversing Policy and Practice,"Mustafa Ibraheem Hussain, University of California Irvine","Stephen Molldrem, University of California - Irvine","Victoria Neumann, Lancaster University","Kim M Unertl, Vanderbilt University Medical Center Department of Biomedical Informatics",NA,NA,NA,"Posted: January 27, 2021
","
				
				
				Neoliberal health reforms have flown under many banners: structured pluralism; new public management; value-based care. These reforms often involve re-using patient data in resource allocation, population-level analytics, and healthcare and public health administration. Such activities make assumptions about the nature, accuracy, and utility of such data, and often wrongly assume patients’ access to payment. In addition to producing benefits, these reforms have led to harms: algorithmically-crystallized neglect; structural exploitation veiled by market logics; clinician demoralization. Informed consent – which could have been preserved or extended through models for accountable, privacy-preserving multi-party sharing of data that integrate bioethical principles – has arguably been eroded through the integration of data infrastructures. Technology companies have taken the COVID-19 pandemic as an occasion for expansion with minimal oversight, often encouraged by new regulations designed to facilitate the release of medical records from the health system to mobile and Web services chosen by ostensibly well-informed health consumers. New forms of profiteering and malfeasance may emerge, for which governments and professions are unprepared. 
This open panel aims to deepen conversations between health informatics and STS, to clarify how critical inquiry can enrich health informatics practice and policy. We aim to deepen conversations about data justice in interoperable health systems and to make inroads that lead to material benefits for those neglected and exploited under neoliberalized health regimes. In addition to critical qualitative and humanistic inquiry, we welcome submissions that use quantitative and computational methods in a critical fashion, and speculative submissions that envision transformative futures. ",191,Health, Data, Governance, Infrastructure, Neoliberalism,NA,NA,NA,Data and quantification,Governance and Public Policy,Medicine and Healthcare
