LicenseNbr,LicenseAppStatus,DoingBusinessAsName,LicExpirationDate,LicExpirationStatus,AddressFull,AddrStreetNo,AddrStreetDir,AddrStreetName,AddrStreetType,AddrUnit,PrimarilyRestaurant,RetailFoodEstab,RestaurantMobileCart,RestaurantMobileBase,RetailMobileCart,RetailMobileBase,FarmersMarket,RecDate,EstablishmentType,AddrCity,ESRI_OID
LICFDD-2020-00213,Active,Exact Sciences,2023/06/30 05:00:00+00,Active,"5505 Endeavor LN
Madison, WI 53719",5505,,Endeavor,LN,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,Madison,2160
LICFDD-2020-00215,Active,Exact Sciences,2023/06/30 05:00:00+00,Active,"145 E BADGER RD
MADISON, WI 53713",145,E,BADGER,RD,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MADISON,2161
LICFDD-2020-00216,Active,Exact Sciences,2023/06/30 05:00:00+00,Active,"5801 Research Park BLVD
Madison, WI 53719",5801,,Research Park,BLVD,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,Madison,2162
LICFDD-2020-00217,Active,Exact Sciences,2023/06/30 05:00:00+00,Active,"1 Exact LN
Madison, WI 53711",1,,Exact,LN,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,Madison,2163
LICFDD-2020-00218,Active,Exact Sciences,2023/06/30 05:00:00+00,Active,"1 Exact LN
Madison, WI 53711",1,,Exact,LN,,,,,,,,,2022/11/16 11:00:10+00,Establisment Type not defined,Madison,2164
LICFDD-2020-00222,Active,Mcgee's Chicken,2023/06/30 05:00:00+00,Active,"2702 E Washington AVE
Madison, WI 53704",2702,E,Washington,AVE,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,Madison,2165
LICFDD-2020-00223,Active,Holiday Inn Express & Suites Middleton,2023/06/30 05:00:00+00,Active,"8353 MURPHY DR
MIDDLETON, WI 53562",8353,,MURPHY,DR,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MIDDLETON,2166
LICFDD-2020-00227,Active,Fin Sushi,2023/06/30 05:00:00+00,Active,"610 Junction RD 113
Madison, WI 53717",610,,Junction,RD,113,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,Madison,2167
LICFDD-2020-00229,Active,Luchador Tequila & Taco Bar,2023/06/30 05:00:00+00,Active,"558 State ST
Madison, WI 53703",558,,State,ST,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,Madison,2168
LICFDD-2020-00231,Active,Amplified Nutrition Llc,2023/06/30 05:00:00+00,Active,"536 SOUTHING GRANGE
COTTAGE GROVE, WI 53527",536,,SOUTHING GRANGE,,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,COTTAGE GROVE,2169
LICFDD-2020-00232,Active,Chocolate Shoppe Ice Cream Co,2023/06/30 05:00:00+00,Active,"2322 Atwood AVE
Madison, WI 53704",2322,,Atwood,AVE,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,Madison,2170
LICFDD-2020-00240,Active,Asian Garden,2023/06/30 05:00:00+00,Active,"105 SOUTH ST
WAUNAKEE, WI 53597",105,,SOUTH,ST,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,WAUNAKEE,2171
LICFDD-2020-00244,Active - Conditional,Morales Family Restaurant,2023/06/30 05:00:00+00,Active,"135 W Main ST
Stoughton, WI 53589",135,W,Main,ST,,,,,,,,,2022/11/16 11:00:10+00,Restaurant Mobile Cart,Stoughton,2172
LICFDD-2020-00248,Active,Mooyah Burgers Fries & Shakes,2023/06/30 05:00:00+00,Active,"605 Junction RD
Madison, WI 53717",605,,Junction,RD,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,Madison,2173
LICFDD-2020-00249,Active,J.H. Findorff & Sons,2023/06/30 05:00:00+00,Active,"300 S Bedford ST
Madison, WI 53703",300,S,Bedford,ST,,,,,,,,,2022/11/16 11:00:10+00,Establisment Type not defined,Madison,2174
LICFDD-2020-00250,Active,El Alegre Mexican Restaurant,2023/06/30 05:00:00+00,Active,"314 N MAIN ST
DEFOREST, WI 53531",314,N,MAIN,ST,,,,,,,,,2022/11/16 11:00:10+00,Restaurant Mobile Cart,DEFOREST,2175
LICFDD-2020-00251,Active,American Family,2023/06/30 05:00:00+00,Active,"6000 American PKWY
Madison, WI 53783",6000,,American,PKWY,,,,,,,,,2022/11/16 11:00:10+00,Establisment Type not defined,Madison,2176
LICFDD-2020-00252,Active,Madison Branch,2023/06/30 05:00:00+00,Active,"2305 Daniels ST
Madison, WI 53718",2305,,Daniels,ST,,,,,,,,,2022/11/16 11:00:10+00,Establisment Type not defined,Madison,2177
LICFDD-2020-00253,Active,Kwik Trip #1059,2023/06/30 05:00:00+00,Active,"1350 WATER WHEEL DR
WAUNAKEE, WI 53597",1350,,WATER WHEEL,DR,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,WAUNAKEE,2178
LICFDD-2020-00256,Active,Viet Kitchen,2023/06/30 05:00:00+00,Active,"682 S Whitney WAY
Madison, WI 53711",682,S,Whitney,WAY,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,Madison,2179
LICFDD-2020-00257,Active,Liberty Prairie Farm,2023/06/30 05:00:00+00,Active,"1764 US HIGHWAY 12 & 18
TOWN OF COTTAGE GROVE, WI 53531",1764,,US HIGHWAY 12 & 18,,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,TOWN OF COTTAGE GROVE,2180
LICFDD-2020-00258,Active,Wings Over Madison,2023/06/30 05:00:00+00,Active,"2739 University AVE
Madison, WI 53705",2739,,University,AVE,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,Madison,2181
LICFDD-2020-00259,Active,Yummee,2023/06/30 05:00:00+00,Active,"5510 University AVE
Madison, WI 53705",5510,,University,AVE,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,Madison,2182
LICFDD-2020-00260,Active,Mafia For Pizza,2023/06/30 05:00:00+00,Active,"1431 Regent ST
Madison, WI 53711",1431,,Regent,ST,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,Madison,2183
LICFDD-2020-00265,Active,Bonnie's Balls,2023/06/30 05:00:00+00,Active,"1219 N SHERMAN AVE
MADISON, WI 53704",1219,N,SHERMAN,AVE,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,MADISON,2184
LICFDD-2020-00266,Active,Chef Scotty,2023/06/30 05:00:00+00,Active,"2300 US-51 HWY, SUITE C
STOUGHTON, WI 53589",2300,,US-51,HWY,C,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,STOUGHTON,2185
LICFDD-2020-00267,Active,Brooklyn Mini Mart,2023/06/30 05:00:00+00,Active,"355 N RUTLAND AVE
BROOKLYN, WI 53521",355,N,RUTLAND,AVE,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,BROOKLYN,2186
LICFDD-2020-00269,Active,Hidden Savanna Farm Llc,2023/06/30 05:00:00+00,Active,"8403 COUNTY HIGHWAY PD
VERONA, WI 53593",8403,,COUNTY HIGHWAY PD,,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,VERONA,2187
LICFDD-2020-00272,Active,Madison East Doubletree,2023/06/30 05:00:00+00,Active,"4402 E Washington AVE
Madison, WI 53704",4402,E,Washington,AVE,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,Madison,2188
LICFDD-2020-00274,Active,Liv's Drink Emporium,2023/06/30 05:00:00+00,Active,"3140 EDMONTON DR 100
SUN PRAIRIE, WI 53590",3140,,EDMONTON,DR,100,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,SUN PRAIRIE,2189
LICFDD-2020-00276,Active,Acker Farm Stand,2023/06/30 05:00:00+00,Active,"5907 US HIGHWAY 12
TOWN OF SPRINGFIELD, WI 53597",5907,,US HIGHWAY 12,,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,TOWN OF SPRINGFIELD,2190
LICFDD-2020-00277,Under Review,Budding Butterfly,2020/06/30 05:00:00+00,Pending,"101 E MAIN ST
CITY OF SUN PRAIRIE, WI 53597",101,E,MAIN,ST,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,CITY OF SUN PRAIRIE,2191
LICFDD-2020-00278,Active,Starbucks Coffee #62417,2023/06/30 05:00:00+00,Active,"2802 FISH HATCHERY RD
CITY OF FITCHBURG, WI 53713",2802,,FISH HATCHERY,RD,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,CITY OF FITCHBURG,2192
LICFDD-2020-00280,Active,X-golf Madison,2023/06/30 05:00:00+00,Active,"1714 Eagan RD
Madison, WI 53704",1714,,Eagan,RD,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,Madison,2193
LICFDD-2020-00281,Active,X- Golf Middleton,2023/06/30 05:00:00+00,Active,"1620 DEMING WAY 102
MIDDLETON, WI 53562",1620,,DEMING,WAY,102,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MIDDLETON,2194
LICFDD-2020-00282,Active,Moka,2023/06/30 05:00:00+00,Active,"4292 East Towne BLVD
Madison, WI 53704",4292,,East Towne,BLVD,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,Madison,2195
LICFDD-2020-00284,Active,114 Main,2023/06/30 05:00:00+00,Active,"114 E MAIN ST
MOUNT HOREB, WI 53572",114,E,MAIN,ST,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,MOUNT HOREB,2196
LICFDD-2020-00286,Active,Grace Coffee,2023/06/30 05:00:00+00,Active,"1824 PARMENTER ST
CITY OF MIDDLETON, WI 53562",1824,,PARMENTER,ST,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,CITY OF MIDDLETON,2197
LICFDD-2020-00289,Active,Halverson's Everything Nice,2023/06/30 05:00:00+00,Active,"1965 BARBER DR
STOUGHTON, WI 53589",1965,,BARBER,DR,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,STOUGHTON,2198
LICFDD-2020-00291,Active,Bavaria Sausage Kitchen,2023/06/30 05:00:00+00,Active,"6317 NESBITT RD
FITCHBURG, WI 53719",6317,,NESBITT,RD,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,FITCHBURG,2199
LICFDD-2020-00293,Active,Kwik Trip #1093,2023/06/30 05:00:00+00,Active,"4665 DALMORE RD
DEFOREST, WI 53532",4665,,DALMORE,RD,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,DEFOREST,2200
LICFDD-2020-00295,Active,Poke Plus And Teriyaki,2023/06/30 05:00:00+00,Active,"615 State ST
Madison, WI 53703",615,,State,ST,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,Madison,2201
LICFDD-2020-00296,Active,Broken Board Coffee,2023/06/30 05:00:00+00,Active,"2358 East Springs DR 800
Madison, WI 53704",2358,,East Springs,DR,800,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,Madison,2202
LICFDD-2020-00298,Active,Pizza Pit Madison-west,2023/06/30 05:00:00+00,Active,"6628 Odana RD
Madison, WI 53719",6628,,Odana,RD,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,Madison,2203
LICFDD-2020-00301,Active,Hilton Garden Inn - Madison,2023/06/30 05:00:00+00,Active,"770 Regent ST
Madison, WI 53715",770,,Regent,ST,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,Madison,2204
LICFDD-2020-00303,Active,Dairy Queen,2023/06/30 05:00:00+00,Active,"7860 Mineral Point RD
Madison, WI 53717",7860,,Mineral Point,RD,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,Madison,2205
LICFDD-2020-00304,Active,Kwik Trip #155,2023/06/30 05:00:00+00,Active,"6525 Kilpatrick LN
Madison, WI 53718",6525,,Kilpatrick,LN,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,Madison,2206
LICFDD-2020-00305,Active,Kwik Trip #1507,2023/06/30 05:00:00+00,Active,"424 W MAIN ST
VILLAGE OF CAMBRIDGE, WI 53523",424,W,MAIN,ST,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,VILLAGE OF CAMBRIDGE,2207
LICFDD-2020-00306,Active,Kwik Trip #1510,2023/06/30 05:00:00+00,Active,"3898 STEVEN DR
TOWN OF BURKE, WI 53532",3898,,STEVEN,DR,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,TOWN OF BURKE,2208
LICFDD-2020-00307,Active,Kwik Trip #1511,2023/06/30 05:00:00+00,Active,"4624 Monona DR
Madison, WI 53716",4624,,Monona,DR,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,Madison,2209
LICFDD-2020-00308,Active,Kwik Trip #1512,2023/06/30 05:00:00+00,Active,"1100 N WINDSOR AVE
COTTAGE GROVE, WI 53527",1100,N,WINDSOR,AVE,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,COTTAGE GROVE,2210
LICFDD-2020-00309,Active,Kwik Trip #1513,2023/06/30 05:00:00+00,Active,"3401 University AVE
Madison, WI 53705",3401,,University,AVE,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,Madison,2211
LICFDD-2020-00310,Active,Kwik Trip #1514,2023/06/30 05:00:00+00,Active,"5445 University AVE
Madison, WI 53705",5445,,University,AVE,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,Madison,2212
LICFDD-2020-00311,Active,Kwik Trip #1521,2023/06/30 05:00:00+00,Active,"9 TOWER DR
CITY OF SUN PRAIRIE, WI 53590",9,,TOWER,DR,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,CITY OF SUN PRAIRIE,2213
LICFDD-2020-00313,Active,Kwik Trip #1516,2023/06/30 05:00:00+00,Active,"781 S MAIN ST
VILLAGE OF DEFOREST, WI 53532",781,S,MAIN,ST,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,VILLAGE OF DEFOREST,2214
LICFDD-2020-00314,Active,Kwik Trip #1517,2023/06/30 05:00:00+00,Active,"401 W COTTAGE GROVE RD
VILLAGE OF COTTAGE GROVE, WI 53527",401,W,COTTAGE GROVE,RD,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,VILLAGE OF COTTAGE GROVE,2215
LICFDD-2020-00315,Active,Kwik Trip #1522,2023/06/30 05:00:00+00,Active,"6202 Schroeder RD
Madison, WI 53711",6202,,Schroeder,RD,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,Madison,2216
LICFDD-2020-00318,Active,Fifth Scoop,2023/06/30 05:00:00+00,Active,"1219 N Sherman AVE
Madison, WI 53704",1219,N,Sherman,AVE,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,Madison,2217
LICFDD-2020-00321,Active,Dollar General,2023/06/30 05:00:00+00,Active,"508 University AVE
Madison, WI 53703",508,,University,AVE,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,Madison,2218
LICFDD-2020-00322,Active,J & P  Fresh Market,2023/06/30 05:00:00+00,Active,"346 State ST
Madison, WI 53703",346,,State,ST,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,Madison,2219
LICFDD-2020-00323,Active,Flavors! Wine Bar,2023/06/30 05:00:00+00,Active,"100 E MAIN ST
SUN PRAIRIE, WI 53590",100,E,MAIN,ST,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,SUN PRAIRIE,2220
LICFDD-2020-00325,Active,The Bar Next Door,2023/06/30 05:00:00+00,Active,"4506 LAKE CIR
WINDSOR, WI 53598",4506,,LAKE,CIR,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,WINDSOR,2221
LICFDD-2020-00326,Active,Chocolate Shoppe Ice Cream,2023/06/30 05:00:00+00,Active,"2685 RESEARCH PARK DR
FITCHBURG, WI 53711",2685,,RESEARCH PARK,DR,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,FITCHBURG,2222
LICFDD-2020-00327,Active,Milio's Sandwiches,2023/06/30 05:00:00+00,Active,"6698 Odana RD 108
Madison, WI 53719",6698,,Odana,RD,108,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,Madison,2223
LICFDD-2020-00328,Active,Milio's Sandwiches,2023/06/30 05:00:00+00,Active,"407 W MAIN ST
SUN PRAIRIE, WI 53590",407,W,MAIN,ST,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,SUN PRAIRIE,2224
LICFDD-2020-00331,Active,Milio's Sandwiches,2023/06/30 05:00:00+00,Active,"2145 Regent ST
Madison, WI 53726",2145,,Regent,ST,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,Madison,2225
LICFDD-2020-00332,Active,Milio's Sandwiches,2023/06/30 05:00:00+00,Active,"1011 N EDGE TRAIL
VERONA, WI 53593",1011,N,EDGE,TRAIL,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,VERONA,2226
LICFDD-2020-00335,Active,Smoothie King,2023/06/30 05:00:00+00,Active,"2019 DEMING WAY
MIDDLETON, WI 53562",2019,,DEMING,WAY,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,MIDDLETON,2227
LICFDD-2020-00336,Active,Kotupha,2023/06/30 05:00:00+00,Active,"1219 N Sherman AVE
Madison, WI 53704",1219,N,Sherman,AVE,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,Madison,2228
LICFDD-2020-00337,Active,Ancora,2023/06/30 05:00:00+00,Active,"611 N SHERMAN AVE
MADISON, WI 53704",611,N,SHERMAN,AVE,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MADISON,2229
LICFDD-2020-00338,Active,Poke Bar,2023/06/30 05:00:00+00,Active,"7603 ELMWOOD AVE
CITY OF MIDDLETON, WI 53562",7603,,ELMWOOD,AVE,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,CITY OF MIDDLETON,2230
LICFDD-2020-00339,Active,Tryataste,2023/06/30 05:00:00+00,Active,"1219 N SHERMAN AVE
MADISON, WI 53704",1219,N,SHERMAN,AVE,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,MADISON,2231
LICFDD-2020-00341,Active,Buck & Honeys,2023/06/30 05:00:00+00,Active,"1370 WATER WHEEL DR
WAUNAKEE, WI 53597",1370,,WATER WHEEL,DR,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,WAUNAKEE,2232
LICFDD-2020-00342,Active,Empire Nutrition,2023/06/30 05:00:00+00,Active,"6007 MONONA DR
MONONA, WI 53716",6007,,MONONA,DR,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,MONONA,2233
LICFDD-2020-00343,Active,Royal Indian Restaurant,2023/06/30 05:00:00+00,Active,"7475 Mineral Point RD 12
Madison, WI 53717",7475,,Mineral Point,RD,12,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,Madison,2234
LICFDD-2020-00344,Active,On The Rox,2023/06/30 05:00:00+00,Active,"8901 CTY Y HWY
TOWN OF ROXBURY, WI 53583",8901,,CTY Y,HWY,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,TOWN OF ROXBURY,2235
LICFDD-2020-00346,Active,Hy-vee Wine And Spirits,2023/06/30 05:00:00+00,Active,"7475 Mineral Point RD
Madison, WI 53717",7475,,Mineral Point,RD,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,Madison,2236
LICFDD-2020-00347,Active,Icki Sticki,2023/06/30 05:00:00+00,Active,"1225 Springdale ST
VILLAGE OF MOUNT HOREB, WI 53572",1225,,Springdale,ST,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,VILLAGE OF MOUNT HOREB,2237
LICFDD-2020-00348,Active,Dollar Tree #08668,2023/06/30 05:00:00+00,Active,"2024 S Stoughton RD
Madison, WI 53716",2024,S,Stoughton,RD,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,Madison,2238
LICFDD-2020-00349,Active,Poke-mi,2023/06/30 05:00:00+00,Active,"2161 Zeier RD
Madison, WI 53704",2161,,Zeier,RD,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,Madison,2239
LICFDD-2020-00351,Active,China Kitchen M&y Llc,2023/06/30 05:00:00+00,Active,"6608 Mineral Point RD
Madison, WI 53705",6608,,Mineral Point,RD,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,Madison,2240
LICFDD-2020-00353,Active,Dollar Tree Store #8606,2023/06/30 05:00:00+00,Active,"1008 NYGAARD ST
STOUGHTON, WI 53589",1008,,NYGAARD,ST,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,STOUGHTON,2241
LICFDD-2020-00354,Active,Milio's Sandwiches,2023/06/30 05:00:00+00,Active,"116 Martin Luther King Jr BLVD
Madison, WI 53703",116,,Martin Luther King Jr,BLVD,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,Madison,2242
LICFDD-2020-00355,Active,Milio's Sandwiches,2023/06/30 05:00:00+00,Active,"306 Junction RD
Madison, WI 53717",306,,Junction,RD,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,Madison,2243
LICFDD-2020-00357,Active,Baymont Inn And Suites,2023/06/30 05:00:00+00,Active,"2810 Coho ST
Madison, WI 53713",2810,,Coho,ST,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,Madison,2244
LICFDD-2020-00358,Active,Town And Country Mart,2023/06/30 05:00:00+00,Active,"2050 COUNTY HIGHWAY MM
FITCHBURG, WI 53575",2050,,COUNTY HIGHWAY MM,,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,FITCHBURG,2245
LICFDD-2020-00361,Active,The Wine Reserve,2023/06/30 05:00:00+00,Active,"113 N MAIN ST
VILLAGE OF OREGON, WI 53593",113,N,MAIN,ST,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,VILLAGE OF OREGON,2246
LICFDD-2020-00362,Active,Subway,2023/06/30 05:00:00+00,Active,"6000 MONONA DR
CITY OF MONONA, WI 53716",6000,,MONONA,DR,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,CITY OF MONONA,2247
LICFDD-2020-00363,Active,Eurofins,2023/06/30 05:00:00+00,Active,"6304 Ronald Reagan AVE
Madison, WI 53704",6304,,Ronald Reagan,AVE,,,,,,,,,2022/11/16 11:00:10+00,Establisment Type not defined,Madison,2248
LICFDD-2020-00365,Active,Norski Nutrition,2023/06/30 05:00:00+00,Active,"122 W HOLUM ST
VILLAGE OF DEFOREST, WI 53532",122,W,HOLUM,ST,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,VILLAGE OF DEFOREST,2249
LICFDD-2020-00367,Active,Crossroads Coffeehouse,2023/06/30 05:00:00+00,Active,"2020 MAIN ST
VILLAGE OF CROSS PLAINS, WI 53528",2020,,MAIN,ST,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,VILLAGE OF CROSS PLAINS,2250
LICFDD-2020-00368,Active,Crumbl Cookies,2023/06/30 05:00:00+00,Active,"2808 PRAIRIE LAKES DR, UNIT 102
CITY OF SUN PRAIRIE, WI 53590",2808,,PRAIRIE LAKES,DR,102,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,CITY OF SUN PRAIRIE,2251
LICFDD-2021-00001,Active,The Looking Glass Bakery,2023/06/30 05:00:00+00,Active,"100 S Baldwin ST 202
Madison, WI 53703",100,S,Baldwin,ST,202,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,Madison,2252
LICFDD-2021-00003,Active,The Springfield Inn,2023/06/30 05:00:00+00,Active,"6136 COUNTY HIGHWAY P
DEFOREST, WI 53529",6136,,COUNTY HIGHWAY P,,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,DEFOREST,2253
LICFDD-2021-00004,Active,Crumbl Cookies,2023/06/30 05:00:00+00,Active,"4010 UNIVERSITY AVE
VILLAGE OF SHOREWOOD HILLS, WI 53705",4010,,UNIVERSITY,AVE,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,VILLAGE OF SHOREWOOD HILLS,2254
LICFDD-2021-00008,Active,Patricia's Supermarket Inc,2023/06/30 05:00:00+00,Active,"1701 Moorland RD
Madison, WI 53711",1701,,Moorland,RD,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,Madison,2255
LICFDD-2021-00009,Active,Ace Hardware #677,2023/06/30 05:00:00+00,Active,"2540 ALLEN BLVD
CITY OF MIDDLETON, WI 53562",2540,,ALLEN,BLVD,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,CITY OF MIDDLETON,2256
LICFDD-2021-00010,Active,Ace Hardware #679,2023/06/30 05:00:00+00,Active,"414 N Midvale BLVD
Madison, WI 53705",414,N,Midvale,BLVD,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,Madison,2257
LICFDD-2021-00011,Active,Ace Hardware #678,2023/06/30 05:00:00+00,Active,"811 S MAIN ST
VILLAGE OF DEFOREST, WI 53532",811,S,MAIN,ST,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,VILLAGE OF DEFOREST,2258
LICFDD-2021-00012,Active,American Family,2023/06/30 05:00:00+00,Active,"6152 American PKWY
Madison, WI 53718",6152,,American,PKWY,,,,,,,,,2022/11/16 11:00:10+00,Establisment Type not defined,Madison,2259
LICFDD-2021-00014,Active,Madison Campground,2023/06/30 05:00:00+00,Active,"4859 COUNTY HIGHWAY V
VILLAGE OF DEFOREST, WI 53532",4859,,COUNTY HIGHWAY V,,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,VILLAGE OF DEFOREST,2260
LICFDD-2021-00015,Active,Raising Canes Restaurants Llc,2023/06/30 05:00:00+00,Active,"579 State ST
Madison, WI 53703",579,,State,ST,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,Madison,2261
LICFDD-2021-00017,Active,Meat People Butcher,2023/06/30 05:00:00+00,Active,"4106 Monona DR
Madison, WI 53716",4106,,Monona,DR,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,Madison,2262
LICFDD-2021-00019,Active,Artemis Provisions And Cheese,2023/06/30 05:00:00+00,Active,"141 VALLEY VIEW RD
VILLAGE OF MOUNT HOREB, WI 53572",141,,VALLEY VIEW,RD,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,VILLAGE OF MOUNT HOREB,2263
LICFDD-2021-00021,Active,Granny's Kitchen,2023/06/30 05:00:00+00,Active,"1423 Northport DR
Madison, WI 53704",1423,,Northport,DR,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,Madison,2264
LICFDD-2021-00023,Active,Jd's / Taste Of Chicago,2023/06/30 05:00:00+00,Active,"2570 RIMROCK RD
MADISON, WI 53713",2570,,RIMROCK,RD,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,MADISON,2265
LICFDD-2021-00024,Active,Popeyes,2023/06/30 05:00:00+00,Active,"4002 E Washington AVE
Madison, WI 53704",4002,E,Washington,AVE,,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,Madison,2266
LICFDD-2021-00025,Active,Rising Sons,2023/06/30 05:00:00+00,Active,"600 W VERONA AVE
VERONA, WI 53593",600,W,VERONA,AVE,,,,,,,,,2022/11/16 11:00:10+00,Retail Food Establishment,VERONA,2267
LICFDD-2021-00026,Active,Berke And Benham Seafood,2023/06/30 05:00:00+00,Active,"1925 Monroe ST 110
Madison, WI 53711",1925,,Monroe,ST,110,,,,,,,,2022/11/16 11:00:10+00,Primarily Restaurant,Madison,2268
